,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
155,saime_r1,2022-07-11 15:28:09+00:00,"RT @UnrulyOutsider: Did you know?

#BurnaBoy Is the FIRST and ONLY artist from Nigeria to have three (3) Albums reach #1 on UK’s 🇬🇧 Apple M…",,False,Twitter for Android,753,123,1546516703135268865
156,Tekashii_szn,2022-07-11 15:28:08+00:00,RT @Tekashii_szn: #LOVEDAMINI let all outsiders gather here let grow follow me and retweet to grow,Nigeria,False,Twitter for iPhone,128,2,1546516700174192641
157,ArewaAdebukolaa,2022-07-11 15:28:07+00:00,"RT @YoriOlajide: My belle o 🎵 
My head o

Fav part of the whole album ~ Rollercoaster 🎢 

#LOVEDAMINI",,False,Twitter for iPhone,2079,2,1546516692624359424
158,ayamagent_,2022-07-11 15:28:05+00:00,"RT @Burnaboystats1: “For my hand” ft @edsheeran has peaked at number 1 on Apple Music in 8 different countries so far. 

#LoveDamini #Burna…",,False,Twitter for iPhone,258,117,1546516687058518016
159,Nehizena4,2022-07-11 15:28:04+00:00,"RT @richie_bantii: Cant lie, never liked #LOVEDAMINI album cover, but after listening to that Album, had to revisit that cover again coZ it…",Inside bush,False,Twitter for iPhone,325,17,1546516682117627916
160,ArewaAdebukolaa,2022-07-11 15:28:02+00:00,RT @Hardaykoonlay: #LOVEDAMINI .....what a time to be alive 🙏🏽,,False,Twitter for iPhone,2079,1,1546516673989156865
161,Miss_Slovex,2022-07-11 15:28:00+00:00,RT @Phill_spy: #LOVEDAMINI greater heights incoming 💯 https://t.co/TAXqYFtpjI,between love & goodbye,False,Twitter for Android,2219,2,1546516664598122499
162,_iamprincefidel,2022-07-11 15:27:53+00:00,"RT @hanamnzali76: FOR THIS LIFE I DEY I WANT TO BE CELEBRATED , DON’T WANNA WASTE MY DAYS I WANT TO SPEND THEM ON ENJOYMENT 🔥🔥 that’s the t…",somewhere in the world 🌍,False,Twitter for Android,1394,9,1546516634524852229
163,OAyans,2022-07-11 15:27:49+00:00,"RT @burnaboy: Before I announced, working on a second :) #LOVEDAMINI https://t.co/aJ99Cb6bMC",,False,Twitter for Android,54,973,1546516618741686275
164,Miss_Slovex,2022-07-11 15:27:48+00:00,"RT @OfChance1: My three favorite songs from #LOVEDAMINI is 
Solid, wild dream, and hold my hand",between love & goodbye,False,Twitter for Android,2219,1,1546516616665513984
165,Djfreezylee01,2022-07-11 15:27:48+00:00,RT @ItsTrinBean: I hope Burna does album signings during the #LOVEDAMINI tour.. Specifically in Texas ❤️🙏🏾.. I’ll be outside waiting at the…,Land Of Nobody,False,Twitter for iPhone,1593,53,1546516613570215937
166,_iamprincefidel,2022-07-11 15:27:45+00:00,"RT @burnaOutsiders: 🇺🇸USA APPLE MUSIC TOP SONGS CHART

#25. Burna boy - last last(new peak)

#LOVEDAMINI https://t.co/5ZljwFO7gA",somewhere in the world 🌍,False,Twitter for Android,1394,51,1546516600471396355
167,abdullinks,2022-07-11 15:27:44+00:00,"RT @burnaboy: Well, #LOVEDAMINI  https://t.co/34gUoYOsto 😘 https://t.co/Bka6wsPMCi",Nigeria,False,Twitter for Android,789,2271,1546516598600699904
168,Miss_Slovex,2022-07-11 15:27:43+00:00,"RT @Official_umd: God I really deeply thank you for life, everything you've done to me plus @burnaboy #LoveDamini",between love & goodbye,False,Twitter for Android,2219,2,1546516595090006021
169,dudubody,2022-07-11 15:27:38+00:00,"RT @richie_bantii: Cant lie, never liked #LOVEDAMINI album cover, but after listening to that Album, had to revisit that cover again coZ it…",,False,Twitter for Android,5792,17,1546516572675743744
170,Miss_Slovex,2022-07-11 15:27:34+00:00,RT @Tekashii_szn: #LOVEDAMINI let all outsiders gather here let grow follow me and retweet to grow,between love & goodbye,False,Twitter for Android,2219,2,1546516557983059971
171,donchumexky,2022-07-11 15:27:34+00:00,"RT @Musicwurld11: Burnaboy ft ed sheeran 😍😍
#Wimbledon #wizkid #ThorLoveAndThunder #prick #Deborah #OAU5 #OAUTwitter #LOVEDAMINI #Kelly Kel…",,False,Twitter for iPhone,14,16,1546516556833865728
172,Galaxypartytime,2022-07-11 15:27:32+00:00,"Now playing #Calmdown @Rema@paxypartytime with host @Shattyranks holding it down  @galaxytv

#runtown #roddy… https://t.co/GT3HMLWfqv","Lagos, Nigeria",False,Twitter Web App,9553,0,1546516549154082821
173,DaReal_TyCrane,2022-07-11 15:27:32+00:00,#LOVEDAMINI just fall short of African Giant… African Giant&gt;Love Damini&gt;Outside&gt;Twice As Tall,Brooklyn,False,Twitter for iPhone,903,0,1546516547040157696
174,EmmaElmejor_,2022-07-11 15:27:27+00:00,RT @badboy_pint: 20 songs on Love Damini because you gotta listen to Common person twice! #LOVEDAMINI,"Kampala, Uganda",False,Twitter for Android,208,12,1546516525183557633
175,Outsideisbliss,2022-07-11 15:27:23+00:00,"RT @hanamnzali76: FOR THIS LIFE I DEY I WANT TO BE CELEBRATED , DON’T WANNA WASTE MY DAYS I WANT TO SPEND THEM ON ENJOYMENT 🔥🔥 that’s the t…","Kumasi, Ghana",False,Twitter for Android,2391,9,1546516511564644352
176,RevoGorilla,2022-07-11 15:27:23+00:00,"RT @Courage1K: You should be proud of Nigerian music after listening to this album.

#Lovedamini",,False,Twitter for Android,1467,7,1546516508163072001
177,fanuelytz,2022-07-11 15:27:22+00:00,"RT @Outsider236: 🌍 Global Apple Music Top 100:
“Last Last” #16 (+2) *new peak 
“For My Hand” #68 (+2) *new peak 
#LOVEDAMINI https://t.co/1…","Dar es Salaam, Tanzania",False,Twitter for Android,714,46,1546516504874811397
178,SegilolaAjiun,2022-07-11 15:27:19+00:00,"RT @ma1n_character: ""Common person"" off #LOVEDAMINI is so good! The saxophone, drums, back up vocals, melody!! 
Such beauty!!!",paper town,False,Twitter for Android,2229,1,1546516494816878600
179,Outsideisbliss,2022-07-11 15:27:19+00:00,RT @ArewaAdebukolaa: Burna boy #Lovedamini  songs topping charts in more than 20 cities in the world with no TikTok palliative is not talke…,"Kumasi, Ghana",False,Twitter for Android,2391,8,1546516491817947138
180,ArewaAdebukolaa,2022-07-11 15:27:18+00:00,"RT @toniaode: Burnaboy's CLOAK AND DAGGER is a special one! The beats on that song! Anyway, since ""The Harder they fall"" has already been m…",,False,Twitter for iPhone,2079,2,1546516486830915584
