,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
407,DaBlake2,2022-07-10 00:21:10+00:00,RT @prince_clever07: The only artist that can sing about political issues and e go enter. The only artist that can sing about heartbreak an…,"Lagos, Nigeria",False,Twitter for Android,9,91,1545926066908418049
408,nycAbdul,2022-07-10 00:21:07+00:00,"RT @chukaobi: @burnaboy made the album of the year with #LOVEDAMINI  

I don’t know how 19 songs can keep going by so fast.

Zero skips, to…",OUTSIDE,False,Twitter for Android,4322,25,1545926051552952321
409,ChrisKh57703957,2022-07-10 00:21:06+00:00,RT @MyGuyITK: The fact that #LOVEDAMINI  is arguably #BURNABOY𓃵 most watered-down project is scary. Imagine the numbers he would have pull…,,False,Twitter for iPhone,1073,2,1545926049652948995
410,1Segun1,2022-07-10 00:20:59+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,Worldwide,False,Twitter for Android,149,4822,1545926018149515266
411,OweyeTsarr,2022-07-10 00:20:58+00:00,RT @kiddawolf_: For my hand - bringing the vibes #LOVEDAMINI @burnaboy https://t.co/7mAaMejjUm,outside,False,Twitter for Android,223,1,1545926015389663233
412,Tejuadultface,2022-07-10 00:20:57+00:00,"RT @UnrulyOutsider: ‘ He sampled Fela’ people are the most disappointed. 😂😜

#LoveDamini",Island of No Mannaz,False,Twitter for Android,3092,71,1545926010901757955
413,Bekiwereloo,2022-07-10 00:20:51+00:00,"@burnaboy Thank you for speaking up about the black soot in Port Harcourt through ""Whiskey"" in #LOVEDAMINI 💪🙏✊♥️",PH CITY,False,Twitter for Android,6941,0,1545925983571775493
414,malakay_509,2022-07-10 00:20:45+00:00,Common Person it's the song #LOVEDAMINI,Haiti,False,Twitter for iPhone,508,1,1545925960352006156
415,brv_major,2022-07-10 00:20:44+00:00,"RT @B3lteshazzar: Love Damini is a wonderful body of work ❤️💯
#LOVEDAMINI",East legon,False,Twitter for Android,11232,3,1545925957726371840
416,anoutsider4L,2022-07-10 00:20:41+00:00,RT @paulizbeet: Give it to Telz mhen!! Man's a beast!!🥶🔥 Just can't get over Cloak and Dagger &amp; Common person 😩🥰 #LOVEDAMINI #BURNABOY𓃵 htt…,OUTSIDE,False,Twitter for Android,2229,13,1545925942828486656
